Bundling 6%
Bundling 20%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Copying public dir 11.1 MB
Copying public dir 23.8 MB
Copying public dir 34.6 MB
Copying public dir 38.3 MB
Copying public dir 44.6 MB
Copying public dir 58 MB
Copying public dir 65.9 MB
Getting composition
Rendered 0/13675
Rendered 267/13675, time remaining: 2m 34s
Rendered 268/13675, time remaining: 2m 34s
Rendered 269/13675, time remaining: 2m 36s
Rendered 270/13675, time remaining: 2m 34s
Rendered 271/13675, time remaining: 2m 34s
Rendered 272/13675, time remaining: 2m 34s
Rendered 273/13675, time remaining: 2m 36s
Rendered 274/13675, time remaining: 2m 33s
Rendered 275/13675, time remaining: 2m 33s
Rendered 276/13675, time remaining: 2m 33s
Rendered 277/13675, time remaining: 2m 35s
Rendered 278/13675, time remaining: 2m 33s
Rendered 279/13675, time remaining: 2m 33s
Rendered 280/13675, time remaining: 2m 33s
Rendered 281/13675, time remaining: 2m 35s
Rendered 282/13675, time remaining: 2m 33s
Rendered 283/13675, time remaining: 2m 33s
Rendered 284/13675, time remaining: 2m 33s
Rendered 285/13675, time remaining: 2m 35s
Rendered 286/13675, time remaining: 2m 33s
Rendered 287/13675, time remaining: 2m 33s
Rendered 288/13675, time remaining: 2m 33s
Rendered 289/13675, time remaining: 2m 35s
Rendered 290/13675, time remaining: 2m 33s
Rendered 291/13675, time remaining: 2m 33s
Rendered 292/13675, time remaining: 2m 33s
Rendered 293/13675, time remaining: 2m 35s
Rendered 294/13675, time remaining: 2m 33s
Rendered 295/13675, time remaining: 2m 33s
Rendered 296/13675, time remaining: 2m 33s
Rendered 297/13675, time remaining: 2m 35s
Rendered 298/13675, time remaining: 2m 34s
Rendered 299/13675, time remaining: 2m 33s
Rendered 300/13675, time remaining: 2m 33s
Rendered 301/13675, time remaining: 2m 35s
Rendered 302/13675, time remaining: 2m 33s
Rendered 303/13675, time remaining: 2m 33s
Rendered 304/13675, time remaining: 2m 33s
Rendered 305/13675, time remaining: 2m 35s
Rendered 306/13675, time remaining: 2m 33s
Rendered 307/13675, time remaining: 2m 33s
Rendered 308/13675, time remaining: 2m 33s
Rendered 309/13675, time remaining: 2m 35s
Rendered 310/13675, time remaining: 2m 33s
Rendered 311/13675, time remaining: 2m 33s
Rendered 312/13675, time remaining: 2m 33s
Rendered 313/13675, time remaining: 2m 35s
Rendered 314/13675, time remaining: 2m 33s
Rendered 315/13675, time remaining: 2m 33s
Rendered 316/13675, time remaining: 2m 33s
Rendered 317/13675, time remaining: 2m 35s
Rendered 318/13675, time remaining: 2m 33s
Rendered 319/13675, time remaining: 2m 33s
Rendered 320/13675, time remaining: 2m 33s
Rendered 321/13675, time remaining: 2m 34s
Rendered 322/13675, time remaining: 2m 32s
Rendered 323/13675, time remaining: 2m 32s
Rendered 324/13675, time remaining: 2m 32s
Rendered 325/13675, time remaining: 2m 34s
Rendered 326/13675, time remaining: 2m 32s
Rendered 327/13675, time remaining: 2m 32s
Rendered 328/13675, time remaining: 2m 32s
Rendered 329/13675, time remaining: 2m 34s
Rendered 330/13675, time remaining: 2m 32s
Rendered 331/13675, time remaining: 2m 31s
Rendered 332/13675, time remaining: 2m 32s
Rendered 333/13675, time remaining: 2m 34s
Rendered 334/13675, time remaining: 2m 32s
